2.1,-0.15749,-0.7,-0.25395,0,0.96722,15,31.5,-2.36235,-10.5,-3.80925,0,14.5083
1.9122,-0.15798,-0.74346,-0.13968,0,0.9902,,28.683,-2.3697,-11.1519,-2.0952,0,14.853
1.7416,-0.15801,-0.74592,0.25446,0,0.96708,,26.124,-2.37015,-11.1888,3.8169,0,14.5062
1.6053,-0.15709,-0.66672,0.78504,0,0.61944,,24.0795,-2.35635,-10.0008,11.7756,0,9.2916
1.5089,-0.15311,-0.49467,0.93756,0,0.34782,,22.6335,-2.29665,-7.42005,14.0634,0,5.2173
1.4386,-0.14106,-0.27034,0.96724,0,0.25388,,21.579,-2.1159,-4.0551,14.5086,0,3.8082
1.3782,-0.11562,-0.039514,-0.96128,0,-0.27557,,20.673,-1.7343,-0.59271,-14.4192,0,-4.13355
1.3126,-0.073817,0.15726,-0.92089,0,-0.38981,,19.689,-1.107255,2.3589,-13.81335,0,-5.84715
1.2332,-0.028921,0.31644,-0.84414,0,-0.53612,,18.498,-0.433815,4.7466,-12.6621,0,-8.0418
1.1342,-0.0011677,0.45033,-0.73862,0,-0.67412,,17.013,-0.0175155,6.75495,-11.0793,0,-10.1118
1.0118,-0.0044305,0.56947,-0.63788,0,-0.77013,,15.177,-0.0664575,8.54205,-9.5682,0,-11.55195
0.8729,-0.016513,0.67426,-0.54999,0,-0.83517,,13.0935,-0.247695,10.1139,-8.24985,0,-12.52755
0.72853,-0.0026166,0.76151,-0.46593,0,-0.88482,,10.92795,-0.039249,11.42265,-6.98895,0,-13.2723
0.58589,0.053888,0.82916,-0.36705,0,-0.9302,,8.78835,0.80832,12.4374,-5.50575,0,-13.953
0.44265,0.12262,0.87804,-0.25409,0,-0.96718,,6.63975,1.8393,13.1706,-3.81135,0,-14.5077
0.29514,0.16721,0.90937,-0.13855,0,-0.99036,,4.4271,2.50815,13.64055,-2.07825,0,-14.8554
0.14342,0.18444,0.92345,-0.022678,0,-0.99974,,2.1513,2.7666,13.85175,-0.34017,0,-14.9961
-0.0087932,0.2035,0.91966,0.098254,0,-0.99516,,-0.131898,3.0525,13.7949,1.47381,0,-14.9274
-0.15686,0.24442,0.89616,0.25609,0,-0.96665,,-2.3529,3.6663,13.4424,3.84135,0,-14.49975
-0.29352,0.29201,0.84715,0.46975,0,-0.8828,,-4.4028,4.38015,12.70725,7.04625,0,-13.242
-0.4116,0.32524,0.76685,0.67552,0,-0.73734,,-6.174,4.8786,11.50275,10.1328,0,-11.0601
-0.51246,0.3445,0.66151,0.77187,0,-0.63578,,-7.6869,5.1675,9.92265,11.57805,0,-9.5367
-0.60348,0.3654,0.54588,0.80203,0,-0.59729,,-9.0522,5.481,8.1882,12.03045,0,-8.95935
-0.68411,0.39258,0.42805,0.87135,0,-0.49067,,-10.26165,5.8887,6.42075,13.07025,0,-7.36005
-0.73932,0.41048,0.30383,0.96925,0,-0.24609,,-11.0898,6.1572,4.55745,14.53875,0,-3.69135
